id,datetime,lines,products,amount_kopecks,min_line,max_line
209,2026-08-23 06:58:29,1,1,895000,895000,895000
210,2026-09-05 17:12:38,1,1,747500,747500,747500
211,2026-08-22 11:08:24,2,2,1495000,747500,747500
212,2026-09-09 15:03:44,2,2,1495000,747500,747500
213,2026-08-23 20:58:38,1,1,895000,895000,895000
214,2026-09-07 14:02:50,1,1,895000,895000,895000
215,2026-08-24 03:22:36,1,1,697500,697500,697500
216,2026-08-23 18:13:18,1,1,747500,747500,747500
217,2026-08-10 14:24:20,1,1,695000,695000,695000
218,2026-08-22 09:03:23,2,2,1695000,847500,847500
219,2026-08-28 13:23:53,1,1,995000,995000,995000
220,2026-08-22 19:19:35,1,1,995000,995000,995000
221,2026-08-23 07:41:37,2,2,1495000,747500,747500
222,2026-08-05 18:52:56,2,2,1595000,797500,797500
223,2026-08-09 20:27:29,1,1,649000,649000,649000
224,2026-09-09 08:55:28,1,1,845000,845000,845000
225,2026-08-05 14:22:34,1,1,874500,874500,874500
226,2026-09-01 17:03:44,1,1,747500,747500,747500
227,2026-08-08 20:08:33,2,2,945000,472500,472500
228,2026-08-09 19:02:28,1,1,645000,645000,645000
228,2026-09-07 07:42:35,1,1,895000,895000,895000
229,2026-08-14 04:19:44,1,1,995000,995000,995000
229,2026-08-23 15:38:51,1,1,845000,845000,845000
230,2026-09-03 15:07:18,1,1,895000,895000,895000
231,2026-09-01 18:08:01,5,5,4122500,824500,824500
232,2026-08-09 10:47:20,1,1,649000,649000,649000
233,2026-08-08 18:51:08,1,1,649000,649000,649000
234,2026-08-12 06:04:03,1,1,495000,495000,495000
235,2026-08-23 16:04:24,1,1,845000,845000,845000
236,2026-08-29 05:27:29,1,1,747500,747500,747500
237,2026-08-23 13:29:45,1,1,895000,895000,895000
238,2026-09-05 13:28:56,1,1,895000,895000,895000
239,2026-08-31 17:06:09,1,1,845000,845000,845000
240,2026-08-22 18:00:15,1,1,645000,645000,645000
241,2026-08-30 17:07:59,1,1,895000,895000,895000
242,2026-08-29 13:44:52,1,1,895000,895000,895000
243,2026-08-24 10:40:35,1,1,895000,895000,895000
244,2026-09-02 10:24:40,1,1,895000,895000,895000
245,2026-09-05 15:54:58,1,1,895000,895000,895000
246,2026-09-07 16:45:55,1,1,995000,995000,995000
247,2026-09-01 14:59:35,2,2,1495000,747500,747500
248,2026-08-22 13:43:42,1,1,747500,747500,747500
249,2026-08-07 19:38:55,1,1,695000,695000,695000
250,2026-09-05 14:54:24,2,2,1495000,747500,747500
251,2026-09-06 18:05:45,1,1,995000,995000,995000
252,2026-09-03 16:36:15,1,1,895000,895000,895000
253,2026-08-30 17:04:49,1,1,895000,895000,895000
254,2026-09-07 14:53:39,2,2,1495000,747500,747500
255,2026-08-26 14:52:53,1,1,895000,895000,895000
256,2026-08-08 17:54:37,1,1,599000,599000,599000
257,2026-08-23 20:56:06,1,1,845000,845000,845000
258,2026-08-10 15:03:03,1,1,649000,649000,649000
259,2026-08-08 07:59:01,1,1,874500,874500,874500
260,2026-08-12 05:32:11,2,2,990000,495000,495000
261,2026-09-06 16:06:04,1,1,895000,895000,895000
262,2026-08-09 09:10:55,1,1,649000,649000,649000
263,2026-08-22 19:53:10,1,1,895000,895000,895000
263,2026-08-25 03:19:38,1,1,600000,600000,600000
264,2026-09-02 18:37:57,2,2,845000,422500,422500
265,2026-08-08 16:25:28,1,1,599000,599000,599000
266,2026-09-02 11:33:22,1,1,1000000,1000000,1000000
267,2026-08-31 08:26:17,1,1,895000,895000,895000
268,2026-08-24 12:52:49,1,1,895000,895000,895000
269,2026-08-25 22:26:03,1,1,747500,747500,747500
270,2026-09-05 14:08:51,1,1,895000,895000,895000
271,2026-09-03 12:55:50,2,2,1495000,747500,747500
272,2026-08-31 18:34:40,1,1,895000,895000,895000
273,2026-09-03 08:17:51,1,1,895000,895000,895000
274,2026-08-30 23:37:30,1,1,697500,697500,697500
275,2026-08-13 09:51:23,1,1,874500,874500,874500
275,2026-09-06 11:58:58,2,2,1395000,697500,697500
276,2026-08-15 12:43:23,2,2,575000,287500,287500
277,2026-08-22 11:24:53,1,1,575000,575000,575000
278,2026-09-06 17:31:06,2,2,1495000,747500,747500
279,2026-08-09 09:48:26,1,1,649000,649000,649000
280,2026-08-05 16:37:02,1,1,824500,824500,824500
281,2026-08-11 12:02:08,1,1,495000,495000,495000
282,2026-08-09 18:55:57,1,1,874500,874500,874500
283,2026-09-09 13:34:09,2,2,1495000,747500,747500
284,2026-08-30 11:56:49,1,1,697500,697500,697500
285,2026-08-30 08:22:49,2,2,1395000,697500,697500
286,2026-08-09 16:16:39,1,1,649000,649000,649000
287,2026-08-19 07:46:07,1,1,695000,695000,695000
288,2026-09-02 08:57:12,1,1,894500,894500,894500
289,2026-08-28 16:24:51,1,1,895000,895000,895000
290,2026-08-23 16:53:02,1,1,747500,747500,747500
291,2026-08-06 10:06:16,2,2,1990000,995000,995000
292,2026-09-06 12:59:39,1,1,697500,697500,697500
293,2026-08-22 11:35:35,1,1,895000,895000,895000
294,2026-08-06 10:39:31,1,1,995000,995000,995000
295,2026-08-06 10:14:55,1,1,695000,695000,695000
296,2026-09-01 10:46:43,1,1,895000,895000,895000
297,2026-08-22 17:26:07,1,1,845000,845000,845000
298,2026-08-23 18:48:14,1,1,697500,697500,697500
299,2026-08-24 16:58:19,1,1,895000,895000,895000
300,2026-09-06 17:58:00,1,1,695000,695000,695000
301,2026-08-31 20:57:15,2,2,1795000,897500,897500
302,2026-09-04 15:20:47,1,1,747500,747500,747500
303,2026-09-04 15:21:52,2,2,1495000,747500,747500
304,2026-08-11 15:52:40,1,1,695000,695000,695000
305,2026-08-31 17:03:19,2,2,1495000,747500,747500
306,2026-09-06 16:18:59,1,1,895000,895000,895000
307,2026-08-23 15:39:57,1,1,845000,845000,845000
308,2026-08-08 14:05:17,2,2,990000,495000,495000
309,2026-09-05 09:55:40,1,1,895000,895000,895000
310,2026-09-06 16:38:02,2,2,1495000,747500,747500
311,2026-08-11 16:15:41,2,2,990000,495000,495000
312,2026-08-23 09:59:13,1,1,747500,747500,747500
313,2026-08-07 11:58:49,1,1,945000,945000,945000
314,2026-08-28 18:44:36,1,1,895000,895000,895000
315,2026-08-23 16:40:25,2,2,1495000,747500,747500
316,2026-08-14 12:59:02,1,1,449500,449500,449500
317,2026-09-04 13:16:14,1,1,895000,895000,895000
318,2026-09-03 17:23:38,1,1,845000,845000,845000
319,2026-08-09 17:25:06,1,1,495000,495000,495000
320,2026-08-08 19:54:31,2,2,999000,499500,499500
321,2026-08-09 16:24:15,1,1,649000,649000,649000
322,2026-08-28 14:03:47,2,2,1495000,747500,747500
323,2026-08-09 18:56:09,2,2,999000,499500,499500
324,2026-08-31 19:22:31,1,1,845000,845000,845000
325,2026-08-06 11:41:17,1,1,995000,995000,995000
326,2026-09-04 10:55:46,2,2,1495000,747500,747500
327,2026-09-06 12:45:38,1,1,895000,895000,895000
328,2026-09-05 10:58:26,2,2,1495000,747500,747500
329,2026-08-09 16:51:47,1,1,649000,649000,649000
330,2026-09-03 15:10:16,2,2,1495000,747500,747500
331,2026-08-09 16:31:09,2,2,999000,499500,499500
332,2026-08-12 06:44:05,1,1,990000,990000,990000
333,2026-08-08 18:25:13,1,1,649000,649000,649000
334,2026-08-07 11:16:14,2,2,1990000,995000,995000
335,2026-08-09 16:07:42,2,2,990000,495000,495000
336,2026-08-09 13:48:41,2,2,990000,495000,495000
337,2026-09-09 15:41:19,1,1,747500,747500,747500
338,2026-08-23 06:47:37,2,2,1495000,747500,747500
339,2026-08-11 12:22:26,1,1,645000,645000,645000
340,2026-08-29 09:29:52,2,2,1195000,597500,597500
341,2026-08-23 11:59:04,1,1,895000,895000,895000
342,2026-08-13 09:48:34,1,1,995000,995000,995000
343,2026-09-01 19:07:54,1,1,895000,895000,895000
344,2026-09-06 14:48:52,1,1,895000,895000,895000
345,2026-09-03 16:33:15,1,1,895000,895000,895000
346,2026-08-18 10:15:05,1,1,874500,874500,874500
347,2026-09-06 18:35:08,1,1,747500,747500,747500
348,2026-08-12 19:17:21,1,1,695000,695000,695000
349,2026-09-09 16:10:16,1,1,747500,747500,747500
350,2026-09-05 18:12:55,1,1,845000,845000,845000
351,2026-08-20 11:12:25,1,1,945000,945000,945000
352,2026-09-03 16:22:06,1,1,845000,845000,845000
353,2026-08-22 11:39:22,1,1,895000,895000,895000
354,2026-09-04 13:47:25,1,1,824500,824500,824500
355,2026-09-02 14:30:26,1,1,845000,845000,845000
356,2026-08-09 13:48:05,1,1,695000,695000,695000
357,2026-08-24 02:46:33,1,1,995000,995000,995000
358,2026-09-09 06:30:33,1,1,845000,845000,845000
359,2026-09-06 18:40:33,1,1,747500,747500,747500
360,2026-08-23 20:57:22,1,1,895000,895000,895000
361,2026-08-17 10:53:42,2,2,1749000,874500,874500
362,2026-09-05 14:52:23,1,1,845000,845000,845000
363,2026-09-04 06:28:52,1,1,894500,894500,894500
364,2026-08-13 00:01:02,1,1,847500,847500,847500
365,2026-08-09 16:15:08,1,1,649000,649000,649000
366,2026-09-06 15:18:37,4,4,895000,223750,223750
367,2026-08-23 18:18:15,1,1,824500,824500,824500
368,2026-08-24 14:21:10,1,1,895000,895000,895000
369,2026-08-09 18:53:23,1,1,449500,449500,449500
370,2026-08-08 14:10:35,1,1,649000,649000,649000
370,2026-08-22 11:14:12,1,1,575000,575000,575000
371,2026-08-09 17:17:09,2,2,990000,495000,495000
372,2026-08-22 15:11:44,1,1,745000,745000,745000
373,2026-08-22 18:58:36,2,2,1495000,747500,747500
374,2026-08-09 19:11:48,1,1,645000,645000,645000
375,2026-09-04 14:19:28,1,1,700000,700000,700000
376,2026-09-03 15:43:04,1,1,695000,695000,695000
377,2026-09-05 19:24:12,2,2,1495000,747500,747500
378,2026-09-04 15:08:47,1,1,895000,895000,895000
379,2026-09-04 11:44:55,1,1,747500,747500,747500
380,2026-08-09 17:19:11,1,1,649000,649000,649000
381,2026-09-09 14:46:43,1,1,895000,895000,895000
382,2026-08-09 18:58:42,2,2,890000,445000,445000
383,2026-09-04 14:11:02,1,1,895000,895000,895000
384,2026-09-04 20:38:50,1,1,845000,845000,845000
385,2026-09-02 14:17:34,2,2,1195000,597500,597500
386,2026-08-19 13:53:46,1,1,700000,700000,700000
387,2026-08-31 09:09:41,1,1,854500,854500,854500
388,2026-08-12 13:28:18,1,1,700000,700000,700000
389,2026-08-09 10:18:12,2,2,990000,495000,495000
389,2026-08-10 19:12:23,1,1,599000,599000,599000
390,2026-09-01 02:23:30,1,1,897500,897500,897500
391,2026-08-14 18:55:11,1,1,874500,874500,874500
392,2026-08-20 13:14:17,1,1,874500,874500,874500
393,2026-08-29 09:45:18,1,1,945000,945000,945000
394,2026-09-05 10:17:43,1,1,895000,895000,895000
395,2026-09-03 11:18:32,1,1,895000,895000,895000
396,2026-09-06 19:15:37,1,1,995000,995000,995000
397,2026-09-05 11:02:15,1,1,895000,895000,895000
398,2026-09-05 18:06:36,1,1,895000,895000,895000
399,2026-09-06 19:02:33,1,1,895000,895000,895000
400,2026-08-09 16:12:09,1,1,649000,649000,649000
401,2026-08-08 22:16:55,1,1,824500,824500,824500
402,2026-08-09 17:25:40,2,2,999000,499500,499500
402,2026-09-03 17:30:08,1,1,845000,845000,845000
403,2026-08-31 10:18:44,1,1,895000,895000,895000
404,2026-09-02 19:30:00,1,1,747500,747500,747500
405,2026-09-05 14:29:26,1,1,895000,895000,895000
406,2026-09-05 13:55:08,1,1,845000,845000,845000
407,2026-09-09 23:11:20,1,1,895000,895000,895000
408,2026-08-10 15:22:41,1,1,649000,649000,649000
409,2026-09-03 21:58:56,1,1,500000,500000,500000
410,2026-08-08 16:51:05,1,1,649000,649000,649000
411,2026-08-30 11:21:33,1,1,854500,854500,854500
412,2026-08-08 14:06:52,2,2,999000,499500,499500
413,2026-08-18 19:40:47,1,1,874500,874500,874500
414,2026-09-05 16:25:16,1,1,895000,895000,895000
415,2026-08-09 04:51:42,1,1,499500,499500,499500
416,2026-09-05 21:19:33,2,2,1395000,697500,697500
417,2026-08-11 10:51:54,1,1,695000,695000,695000
418,2026-08-26 04:03:43,2,2,1495000,747500,747500
419,2026-09-02 10:06:52,2,2,1495000,747500,747500
420,2026-08-14 20:17:00,1,1,695000,695000,695000
421,2026-08-08 20:25:37,2,2,999000,499500,499500
422,2026-09-02 15:30:05,1,1,945000,945000,945000
423,2026-09-01 12:44:58,1,1,747500,747500,747500
424,2026-08-23 17:45:31,2,2,1495000,747500,747500
425,2026-08-24 07:03:39,1,1,850300,850300,850300
426,2026-08-13 09:26:22,1,1,600000,600000,600000
427,2026-08-08 19:23:46,2,2,990000,495000,495000
428,2026-09-04 18:33:44,2,2,1790000,895000,895000
429,2026-09-08 13:04:06,1,1,995000,995000,995000
430,2026-08-04 13:38:06,1,1,895000,895000,895000
430,2026-08-23 16:17:56,1,1,800000,800000,800000
431,2026-09-05 15:28:29,1,1,895000,895000,895000
432,2026-08-29 19:39:58,1,1,895000,895000,895000
432,2026-08-30 10:31:12,1,1,854500,854500,854500
433,2026-08-09 19:40:37,2,2,990000,495000,495000
434,2026-09-06 15:23:19,1,1,845000,845000,845000
435,2026-08-09 16:13:53,2,2,990000,495000,495000
436,2026-08-23 15:04:52,1,1,845000,845000,845000
437,2026-08-04 09:08:31,1,1,895000,895000,895000
437,2026-08-04 09:35:00,1,1,789000,789000,789000
437,2026-08-22 08:23:59,1,1,895000,895000,895000
437,2026-08-30 16:16:42,1,1,100000,100000,100000
438,2026-09-09 13:24:37,1,1,895000,895000,895000
439,2026-08-09 20:20:29,1,1,649000,649000,649000
440,2026-08-24 03:20:05,1,1,747500,747500,747500
441,2026-08-16 09:40:30,1,1,874500,874500,874500
442,2026-08-14 11:21:45,1,1,695000,695000,695000
443,2026-08-04 10:14:38,2,2,1695000,847500,847500
444,2026-09-09 16:46:07,2,2,1495000,747500,747500
445,2026-08-10 00:36:19,1,1,495000,495000,495000
446,2026-08-10 09:02:50,1,1,695000,695000,695000
447,2026-08-23 13:46:56,1,1,845000,845000,845000
448,2026-08-14 14:23:30,2,2,1695000,847500,847500
449,2026-09-06 17:28:24,1,1,895000,895000,895000
450,2026-09-03 06:06:37,1,1,895000,895000,895000
451,2026-08-08 16:24:46,1,1,824500,824500,824500
452,2026-08-25 21:09:34,1,1,845000,845000,845000
453,2026-08-11 17:07:53,1,1,495000,495000,495000
454,2026-09-07 04:33:26,1,1,895000,895000,895000
455,2026-08-25 07:53:50,1,1,895000,895000,895000
456,2026-09-08 17:57:42,1,1,995000,995000,995000
457,2026-08-09 10:16:31,1,1,649000,649000,649000
458,2026-08-22 11:58:37,1,1,845000,845000,845000
459,2026-08-07 11:31:08,1,1,995000,995000,995000
460,2026-08-12 13:12:40,1,1,874500,874500,874500
461,2026-09-05 15:01:05,2,2,1495000,747500,747500
462,2026-08-09 16:45:22,1,1,50000,50000,50000
463,2026-08-25 13:16:31,1,1,895000,895000,895000
464,2026-08-10 18:30:49,1,1,450000,450000,450000
465,2026-09-07 08:21:23,1,1,422500,422500,422500
466,2026-08-26 13:56:39,1,1,895000,895000,895000
467,2026-08-10 13:55:50,1,1,649000,649000,649000
468,2026-08-19 07:10:12,1,1,945000,945000,945000
469,2026-08-08 19:45:24,1,1,495000,495000,495000
470,2026-08-09 17:24:05,2,2,990000,495000,495000
471,2026-09-04 18:12:51,1,1,995000,995000,995000
472,2026-09-06 13:45:12,1,1,895000,895000,895000
473,2026-08-08 13:57:16,1,1,1000000,1000000,1000000
474,2026-08-14 07:16:32,1,1,695000,695000,695000
475,2026-08-24 15:16:31,1,1,995000,995000,995000
476,2026-08-09 14:14:07,2,2,890000,445000,445000
477,2026-08-06 14:52:49,1,1,50000,50000,50000
