id,mode,userId,placementId,type,at,course
dv2_e72,demo,demo_v2_u033,d005,visit,2026-09-16T12:04:00Z,
dv2_e73,demo,demo_v2_u034,d002,visit,2026-09-13T16:38:00Z,
dv2_e74,demo,demo_v2_u034,d002,lead,2026-09-13T16:40:00Z,
dv2_e75,demo,demo_v2_u035,d003,visit,2026-09-14T10:54:00Z,
dv2_e76,demo,demo_v2_u035,d003,lead,2026-09-14T10:56:00Z,
dv2_e77,demo,demo_v2_u035,d007,visit,2026-09-18T11:45:00Z,
dv2_e78,demo,demo_v2_u036,d004,visit,2026-09-15T20:12:00Z,
dv2_e79,demo,demo_v2_u037,d001,visit,2026-09-12T16:45:00Z,
dv2_e80,demo,demo_v2_u037,d001,lead,2026-09-12T16:47:00Z,
dv2_e81,demo,demo_v2_u037,d005,visit,2026-09-16T11:05:00Z,
dv2_e82,demo,demo_v2_u038,d002,visit,2026-09-13T14:24:00Z,
dv2_e83,demo,demo_v2_u038,d002,lead,2026-09-13T14:26:00Z,
dv2_e84,demo,demo_v2_u039,d003,visit,2026-09-14T11:04:00Z,
dv2_e85,demo,demo_v2_u039,d003,lead,2026-09-14T11:06:00Z,
dv2_e86,demo,demo_v2_u039,d007,visit,2026-09-18T12:34:00Z,
dv2_e87,demo,demo_v2_u040,d004,visit,2026-09-15T12:04:00Z,
dv2_e88,demo,demo_v2_u040,d004,lead,2026-09-15T12:06:00Z,
dv2_e89,demo,demo_v2_u041,d001,visit,2026-09-12T16:49:00Z,
dv2_e90,demo,demo_v2_u042,d002,visit,2026-09-13T16:43:00Z,
dv2_e91,demo,demo_v2_u042,d002,lead,2026-09-13T16:45:00Z,
dv2_e92,demo,demo_v2_u043,d003,visit,2026-09-14T12:35:00Z,
dv2_e93,demo,demo_v2_u043,d003,lead,2026-09-14T12:37:00Z,
dv2_e94,demo,demo_v2_u043,d007,visit,2026-09-18T12:46:00Z,
dv2_e95,demo,demo_v2_u044,d004,visit,2026-09-15T15:42:00Z,
dv2_e96,demo,demo_v2_u044,d004,lead,2026-09-15T15:44:00Z,
dv2_e97,demo,demo_v2_u045,d001,visit,2026-09-12T14:34:00Z,
dv2_e98,demo,demo_v2_u045,d001,lead,2026-09-12T14:36:00Z,
dv2_e99,demo,demo_v2_u045,d005,visit,2026-09-16T10:53:00Z,
dv2_e100,demo,demo_v2_u046,d002,visit,2026-09-13T13:47:00Z,
dv2_e101,demo,demo_v2_u047,d003,visit,2026-09-14T11:15:00Z,
dv2_e102,demo,demo_v2_u047,d003,lead,2026-09-14T11:17:00Z,
dv2_e103,demo,demo_v2_u047,d007,visit,2026-09-18T11:19:00Z,
dv2_e104,demo,demo_v2_u048,d004,visit,2026-09-15T11:43:00Z,
dv2_e105,demo,demo_v2_u048,d004,lead,2026-09-15T11:45:00Z,
dv2_e106,demo,demo_v2_u049,d001,visit,2026-09-12T11:18:00Z,
dv2_e107,demo,demo_v2_u049,d001,lead,2026-09-12T11:20:00Z,
dv2_e108,demo,demo_v2_u049,d005,visit,2026-09-16T10:50:00Z,
dv2_e109,demo,demo_v2_u050,d002,visit,2026-09-13T11:06:00Z,
dv2_e110,demo,demo_v2_u050,d002,lead,2026-09-13T11:08:00Z,
dv2_e111,demo,demo_v2_u051,d003,visit,2026-09-14T14:12:00Z,
dv2_e112,demo,demo_v2_u052,d004,visit,2026-09-15T16:36:00Z,
dv2_e113,demo,demo_v2_u052,d004,lead,2026-09-15T16:38:00Z,
dv2_e114,demo,demo_v2_u053,d001,visit,2026-09-12T11:50:00Z,
dv2_e115,demo,demo_v2_u053,d001,lead,2026-09-12T11:52:00Z,
dv2_e116,demo,demo_v2_u053,d005,visit,2026-09-16T11:28:00Z,
dv2_e117,demo,demo_v2_u054,d002,visit,2026-09-13T11:31:00Z,
dv2_e118,demo,demo_v2_u054,d002,lead,2026-09-13T11:33:00Z,
dv2_e119,demo,demo_v2_u055,d003,visit,2026-09-14T18:39:00Z,
dv2_e120,demo,demo_v2_u055,d003,lead,2026-09-14T18:41:00Z,
dv2_e121,demo,demo_v2_u055,d007,visit,2026-09-18T13:22:00Z,
dv2_e122,demo,demo_v2_u056,d004,visit,2026-09-15T14:24:00Z,
dv2_e123,demo,demo_v2_u057,d001,visit,2026-09-12T13:32:00Z,
dv2_e124,demo,demo_v2_u057,d001,lead,2026-09-12T13:34:00Z,
dv2_e125,demo,demo_v2_u057,d005,visit,2026-09-16T11:45:00Z,
dv2_e126,demo,demo_v2_u058,d002,visit,2026-09-13T17:05:00Z,
dv2_e127,demo,demo_v2_u058,d002,lead,2026-09-13T17:07:00Z,
dv2_e128,demo,demo_v2_u059,d003,visit,2026-09-14T15:03:00Z,
dv2_e129,demo,demo_v2_u059,d003,lead,2026-09-14T15:05:00Z,
dv2_e130,demo,demo_v2_u059,d007,visit,2026-09-18T11:08:00Z,
dv2_e131,demo,demo_v2_u060,d004,visit,2026-09-15T20:13:00Z,
dv2_e132,demo,demo_v2_u060,d004,lead,2026-09-15T20:15:00Z,
dv2_alt_4,demo,demo_v2_u005,d013,visit,2026-09-16T12:00:00Z,
dv2_alt_8,demo,demo_v2_u009,d013,visit,2026-09-16T12:00:00Z,
dv2_alt_12,demo,demo_v2_u013,d013,visit,2026-09-16T12:00:00Z,
dv2_alt_16,demo,demo_v2_u017,d013,visit,2026-09-16T12:00:00Z,
dv3_visit_0,demo,demo_v3_launch_0,d009,visit,2026-09-18T11:00:00Z,
dv3_form_0,demo,demo_v3_launch_0,d009,lead,2026-09-18T11:02:00Z,AI агенты
dv3_visit_1,demo,demo_v3_launch_1,d009,visit,2026-09-18T11:10:00Z,
dv3_form_1,demo,demo_v3_launch_1,d009,lead,2026-09-18T11:12:00Z,AI агенты
dv3_visit_2,demo,demo_v3_launch_2,d009,visit,2026-09-18T11:20:00Z,
dv3_visit_3,demo,demo_v3_launch_3,d010,visit,2026-09-19T11:30:00Z,
dv3_form_3,demo,demo_v3_launch_3,d010,lead,2026-09-19T11:32:00Z,Backend старт
dv3_visit_4,demo,demo_v3_launch_4,d010,visit,2026-09-19T11:40:00Z,
dv3_form_4,demo,demo_v3_launch_4,d010,lead,2026-09-19T11:42:00Z,Backend старт
dv3_visit_5,demo,demo_v3_launch_5,d010,visit,2026-09-19T11:50:00Z,
