id,mode,userId,stage,owner,course,sourcePlacementId,note,createdAt
dv2_l28,demo,demo_v2_u029,qualified,Участник 4,Аналитика про,d001,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-12T11:21:00Z
dv2_l29,demo,demo_v2_u030,qualified,Участник 5,Алгоритмы про,d002,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-13T13:56:00Z
dv2_l31,demo,demo_v2_u032,qualified,Участник 2,Backend про,d004,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-15T12:02:00Z
dv2_l32,demo,demo_v2_u033,paid,Участник 3,Аналитика про,d001,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-12T16:03:00Z
dv2_l33,demo,demo_v2_u034,paid,Участник 4,Алгоритмы про,d002,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-13T16:40:00Z
dv2_l34,demo,demo_v2_u035,qualified,Участник 5,ML про,d003,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-14T10:56:00Z
dv2_l36,demo,demo_v2_u037,paid,Участник 2,Аналитика про,d001,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-12T16:47:00Z
dv2_l37,demo,demo_v2_u038,qualified,Участник 3,Алгоритмы про,d002,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-13T14:26:00Z
dv2_l38,demo,demo_v2_u039,qualified,Участник 4,ML про,d003,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-14T11:06:00Z
dv2_l39,demo,demo_v2_u040,new,Участник 5,Backend про,d004,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-15T12:06:00Z
dv2_l41,demo,demo_v2_u042,qualified,Участник 2,Алгоритмы про,d002,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-13T16:45:00Z
dv2_l42,demo,demo_v2_u043,new,Участник 3,ML про,d003,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-14T12:37:00Z
dv2_l43,demo,demo_v2_u044,qualified,Участник 4,Backend про,d004,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-15T15:44:00Z
dv2_l44,demo,demo_v2_u045,qualified,Участник 5,Аналитика про,d001,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-12T14:36:00Z
dv2_l46,demo,demo_v2_u047,paid,Участник 2,ML про,d003,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-14T11:17:00Z
dv2_l47,demo,demo_v2_u048,paid,Участник 3,Backend про,d004,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-15T11:45:00Z
dv2_l48,demo,demo_v2_u049,new,Участник 4,Аналитика про,d001,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-12T11:20:00Z
dv2_l49,demo,demo_v2_u050,qualified,Участник 5,Алгоритмы про,d002,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-13T11:08:00Z
dv2_l51,demo,demo_v2_u052,new,Участник 2,Backend про,d004,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-15T16:38:00Z
dv2_l52,demo,demo_v2_u053,qualified,Участник 3,Аналитика про,d001,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-12T11:52:00Z
dv2_l53,demo,demo_v2_u054,qualified,Участник 4,Алгоритмы про,d002,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-13T11:33:00Z
dv2_l54,demo,demo_v2_u055,new,Участник 5,ML про,d003,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-14T18:41:00Z
dv2_l56,demo,demo_v2_u057,qualified,Участник 2,Аналитика про,d001,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-12T13:34:00Z
dv2_l57,demo,demo_v2_u058,new,Участник 3,Алгоритмы про,d002,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-13T17:07:00Z
dv2_l58,demo,demo_v2_u059,paid,Участник 4,ML про,d003,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-14T15:05:00Z
dv2_l59,demo,demo_v2_u060,qualified,Участник 5,Backend про,d004,Вымышленная заявка на конкретный курс; первый источник сохранён отдельно от источника оплаты.,2026-09-15T20:15:00Z
dv3_lead_0,demo,demo_v3_launch_0,paid,Участник 5,AI агенты,d009,Демо одной кампании с двумя разными курсами.,2026-09-18T11:02:00Z
dv3_lead_1,demo,demo_v3_launch_1,qualified,Участник 5,AI агенты,d009,Демо одной кампании с двумя разными курсами.,2026-09-18T11:12:00Z
dv3_lead_3,demo,demo_v3_launch_3,paid,Участник 5,Backend старт,d010,Демо одной кампании с двумя разными курсами.,2026-09-19T11:32:00Z
dv3_lead_4,demo,demo_v3_launch_4,qualified,Участник 5,Backend старт,d010,Демо одной кампании с двумя разными курсами.,2026-09-19T11:42:00Z
